监控视频,#genre#
室内监控,https://open.ys7.com/v3/openlive/E78901230_1_1.m3u8?expire=1769585887&id=806186698908286976&t=a4e39a255e97dd038ba1775b7c7f93eb6296a0f35bc324e2a5c299aae0ae3c07&ev=100$高清
室内监控,https://open.ys7.com/v3/openlive/E78901230_1_2.m3u8?expire=1769585887&id=806186699976617984&t=58718b891ca589fb36164ceff146a98875a42e7e95fa9da9e3463825c83676f0&ev=100$流畅
院落朝北,https://open.ys7.com/v3/openlive/E08868584_1_1.m3u8?expire=1769586946&id=806191142381457408&t=f9e5920018e1d51b736c1a3fd53f447036be691dbdff8e0d88a0b49758e9855d&ev=100$高清
院落朝北,https://open.ys7.com/v3/openlive/E08868584_1_2.m3u8?expire=1769586946&id=806191142194561024&t=eb56b249a28ef52e758dfdb23c6ab873a694be1765b141cf11a4107745aef8d9&ev=100$流畅
院落朝南,https://open.ys7.com/v3/openlive/E08868584_2_1.m3u8?expire=1769587101&id=806191792190046208&t=4e92946934dea02f51104d89874a8ea0c7c83669bbd03d876fe7b6d96eab3515&ev=100$高清
院落朝南,https://open.ys7.com/v3/openlive/E08868584_2_2.m3u8?expire=1769587101&id=806191791920386048&t=1ac42b5b41ed13108070326c3b8e3c2df34085ad1f65c23efb1c4b6ccbe54391&ev=100$流畅
牛棚监控,https://open.ys7.com/v3/openlive/E08868584_3_1.m3u8?expire=1769587162&id=806192046074056704&t=4e91789d74e800920d04a0e00d689891971bc2734b5edf33295376d69b296dcc&ev=100$高清
牛棚监控,https://open.ys7.com/v3/openlive/E08868584_3_2.m3u8?expire=1769587162&id=806192045830971392&t=e1a83d006c3f19cf52176d056042a351d85d50778de1969d374a2c81d9f6a3cf&ev=100$流畅

直播中国,#genre#
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?

兰州中山桥,https://gcalic.v.myalicdn.com/gc/ylh03_1/index.m3u8?
敦煌月牙泉,https://gctxyc.liveplay.myqcloud.com/gc/dhyyqst_1/index.m3u8?
张掖七彩丹霞,https://gctxyc.liveplay.myqcloud.com/gc/lsdftyd_1_md.m3u8
嘉峪关关城景区,https://gcalic.v.myalicdn.com/gc/dxssyt_1/index.m3u8?

大唐不夜城,https://gcalic.v.myalicdn.com/gc/hsxkscj_1/index.m3u8?
西安大雁塔,https://gctxyc.liveplay.myqcloud.com/gc/hkylxs01_1_md.m3u8
西安钟楼,https://gcalic.v.myalicdn.com/gc/sxzl_1/index.m3u8?

北京鸟巢,https://gcalic.v.myalicdn.com/gc/glxs01_1/index.m3u8?
黄花城水长城一,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8?
黄花城水长城二,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8?
司马台长城,https://gcalic.v.myalicdn.com/gc/jyg02_1/index.m3u8?

天津滨海新区,https://gcalic.v.myalicdn.com/gc/ljgcszsnkgc_1/index.m3u8?

河北承德避暑山庄,https://gctxyc.liveplay.myqcloud.com/gc/lpsgmjng01_1/index.m3u8?

山西高平釜山泫水湖,https://gcalic.v.myalicdn.com/gc/zh02_1/index.m3u8?

辽宁星海广场,https://gcalic.v.myalicdn.com/gc/hhdxg01_1/index.m3u8?
沈阳浑河桥,https://gctxyc.liveplay.myqcloud.com/gc/ljgcdsc_1/index.m3u8?

吉林临江门大桥,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8?

黑龙江镜泊湖,https://gctxyc.liveplay.myqcloud.com/gc/jyg04_1/index.m3u8?
